pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0262,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0474,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0241,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.002,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.055,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0145,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0799,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.041,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0702,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0002,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0471,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0012,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0527,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.1186,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0377,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1242,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1013,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0749,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0431,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0569,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0068,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0007,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,-0.1576,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.036,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.2819,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.2711,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.4496,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0223,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.55,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.0325,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0013,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0377,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0024,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0001,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.088,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0015,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0137,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0057,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0148,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0026,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0319,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0124,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.0493,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1635,4
