prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.9243
0,0,1,32,11.85
0,0,1,64,12.0207
0,0,1,128,16.9383
0,0,1,256,17.2573
0,0,1,512,17.6847
0,0,1,1024,18.6127
0,0,1,2048,20.873
0,0,1,4096,28.809
0,0,1,8192,34.75
0,0,1,16384,52.819
0,0,2,16,18.154
0,0,2,32,18.1327
0,0,2,64,18.2383
0,0,2,128,21.77
0,0,2,256,21.9833
0,0,2,512,22.7087
0,0,2,1024,24.031
0,0,2,2048,30.8683
0,0,2,4096,37.8437
0,0,2,8192,53.778
0,0,2,16384,79.8357
0,0,4,16,18.0673
0,0,4,32,18.0477
0,0,4,64,18.175
0,0,4,128,21.855
0,0,4,256,22.1747
0,0,4,512,23.4127
0,0,4,1024,29.075
0,0,4,2048,36.1153
0,0,4,4096,51.518
0,0,4,8192,75.9633
0,0,4,16384,123.739
0,0,8,16,17.5987
0,0,8,32,17.7593
0,0,8,64,17.93
0,0,8,128,21.8657
0,0,8,256,22.4637
0,0,8,512,28.649
0,0,8,1024,37.854
0,0,8,2048,51.0163
0,0,8,4096,80.3167
0,0,8,8192,123.152
0,0,8,16384,218.145
0,0,16,16,17.9407
0,0,16,32,18.037
0,0,16,64,18.4747
0,0,16,128,22.4527
0,0,16,256,29.1187
0,0,16,512,38.174
0,0,16,1024,50.8033
0,0,16,2048,74.8233
0,0,16,4096,122.362
0,0,16,8192,216.566
0,0,16,16384,405.901
0,0,32,16,19.0603
0,0,32,32,19.4333
0,0,32,64,19.924
0,0,32,128,30.2487
0,0,32,256,39.5287
0,0,32,512,51.229
0,0,32,1024,75.421
0,0,32,2048,121.968
0,0,32,4096,216.663
0,0,32,8192,407.832
0,0,32,16384,785.969
0,0,64,16,25.1717
0,0,64,32,25.7797
0,0,64,64,27.241
0,0,64,128,37.2667
0,0,64,256,52.861
0,0,64,512,77.0943
0,0,64,1024,123.557
0,0,64,2048,218.443
0,0,64,4096,407.895
0,0,64,8192,783.868
0,0,64,16384,1539.09
0,0,128,16,37.865
0,0,128,32,38.6227
0,0,128,64,42.0143
0,0,128,128,59.2497
0,0,128,256,83.0897
0,0,128,512,131.108
0,0,128,1024,224.107
0,0,128,2048,414.562
0,0,128,4096,788.583
0,0,128,8192,1550.56
0,0,128,16384,3059.93
0,0,256,16,63.3043
0,0,256,32,65.8743
0,0,256,64,70.3007
0,0,256,128,101.595
0,0,256,256,145.498
0,0,256,512,242.325
0,0,256,1024,425.42
0,0,256,2048,799.303
0,0,256,4096,1550.71
0,0,256,8192,3076.79
0,0,256,16384,6090.08
16,0,0,0,12.6507
16,0,1,16,12.4047
