prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.7547
0,0,1,32,11.7443
0,0,1,64,11.7973
0,0,1,128,16.896
0,0,1,256,17.184
0,0,1,512,17.5353
0,0,1,1024,18.4423
0,0,1,2048,20.0637
0,0,1,4096,23.4773
0,0,1,8192,33.835
0,0,1,16384,40.406
0,0,2,16,14.571
0,0,2,32,14.624
0,0,2,64,14.699
0,0,2,128,19.9147
0,0,2,256,20.2347
0,0,2,512,20.8327
0,0,2,1024,21.6857
0,0,2,2048,24.011
0,0,2,4096,31.6263
0,0,2,8192,38.5393
0,0,2,16384,55.9367
0,0,4,16,14.549
0,0,4,32,14.582
0,0,4,64,14.6667
0,0,4,128,19.9573
0,0,4,256,20.288
0,0,4,512,20.9593
0,0,4,1024,22.166
0,0,4,2048,29.131
0,0,4,4096,36.1807
0,0,4,8192,52.416
0,0,4,16384,78.9337
0,0,8,16,14.4957
0,0,8,32,14.592
0,0,8,64,14.656
0,0,8,128,19.9577
0,0,8,256,20.5013
0,0,8,512,21.451
0,0,8,1024,27.4997
0,0,8,2048,33.9207
0,0,8,4096,49.952
0,0,8,8192,74.2403
0,0,8,16384,123.478
0,0,16,16,14.4217
0,0,16,32,14.5387
0,0,16,64,14.6777
0,0,16,128,20.3207
0,0,16,256,21.387
0,0,16,512,27.5413
0,0,16,1024,36.2777
0,0,16,2048,49.9523
0,0,16,4096,79.2117
0,0,16,8192,121.942
0,0,16,16384,216.587
0,0,32,16,14.859
0,0,32,32,15.1573
0,0,32,64,15.5097
0,0,32,128,21.2693
0,0,32,256,27.574
0,0,32,512,37.0133
0,0,32,1024,49.2697
0,0,32,2048,73.4727
0,0,32,4096,120.737
0,0,32,8192,215.031
0,0,32,16384,405.944
0,0,64,16,15.3073
0,0,64,32,15.872
0,0,64,64,16.6073
0,0,64,128,29.2693
0,0,64,256,38.5167
0,0,64,512,50.273
0,0,64,1024,74.5927
0,0,64,2048,121.771
0,0,64,4096,216.727
0,0,64,8192,406.627
0,0,64,16384,790.138
0,0,128,16,22.5273
0,0,128,32,23.1037
0,0,128,64,24.6617
0,0,128,128,34.7413
0,0,128,256,48.2237
0,0,128,512,72.7903
0,0,128,1024,119.862
0,0,128,2048,213.922
0,0,128,4096,406.146
0,0,128,8192,783.803
0,0,128,16384,1537.27
0,0,256,16,35.392
0,0,256,32,36.341
0,0,256,64,39.0827
0,0,256,128,57.3873
0,0,256,256,81.547
0,0,256,512,129.74
0,0,256,1024,223.085
0,0,256,2048,410.797
0,0,256,4096,789.819
0,0,256,8192,1546.53
0,0,256,16384,3062.97
16,0,0,0,12.224
16,0,1,16,12.3837
16,0,1,32,12.3523
16,0,1,64,12.3417
16,0,1,128,14.8907
16,0,1,256,18.5817
16,0,1,512,25.7497
16,0,1,1024,40.48
16,0,1,2048,69.8663
16,0,1,4096,128.726
16,0,1,8192,246.658
16,0,1,16384,483.3
16,0,2,16,12.203
16,0,2,32,12.1597
16,0,2,64,12.16
16,0,2,128,14.8267
16,0,2,256,18.4433
16,0,2,512,25.771
16,0,2,1024,40.5767
16,0,2,2048,70.07
16,0,2,4096,129.068
16,0,2,8192,247.052
16,0,2,16384,484.408
16,0,4,16,12.1283
16,0,4,32,12.2457
16,0,4,64,12.1063
16,0,4,128,14.9663
16,0,4,256,18.539
16,0,4,512,26.027
16,0,4,1024,41.0773
16,0,4,2048,71.2003
16,0,4,4096,131.084
16,0,4,8192,250.018
16,0,4,16384,486.041
16,0,8,16,11.8937
16,0,8,32,11.883
16,0,8,64,11.9363
16,0,8,128,14.8163
16,0,8,256,18.5173
16,0,8,512,25.931
16,0,8,1024,41.547
16,0,8,2048,71.7657
16,0,8,4096,131.361
16,0,8,8192,250.103
16,0,8,16384,488.111
16,0,16,16,17.803
16,0,16,32,17.9733
16,0,16,64,18.123
16,0,16,128,22.507
16,0,16,256,26.7847
16,0,16,512,34.0593
16,0,16,1024,49.323
16,0,16,2048,79.051
16,0,16,4096,136.865
16,0,16,8192,254.412
16,0,16,16384,493.529
16,0,32,16,23.7013
16,0,32,32,24.1067
16,0,32,64,24.2773
16,0,32,128,32.7687
16,0,32,256,41.8037
16,0,32,512,56.8323
16,0,32,1024,85.686
16,0,32,2048,144.022
16,0,32,4096,266.348
16,0,32,8192,515.887
16,0,32,16384,1009.11
16,0,64,16,35.3397
16,0,64,32,35.5737
16,0,64,64,36.278
16,0,64,128,53.4837
16,0,64,256,81.1313
16,0,64,512,124.758
16,0,64,1024,219.095
16,0,64,2048,407.971
16,0,64,4096,782.683
16,0,64,8192,1535.55
16,0,64,16384,3062.48
16,0,128,16,57.867
16,0,128,32,59.0833
16,0,128,64,60.0537
16,0,128,128,94.379
16,0,128,256,140.289
16,0,128,512,233.442
16,0,128,1024,418.253
16,0,128,2048,790.065
16,0,128,4096,1542.89
16,0,128,8192,3078.65
16,0,128,16384,6091.89
16,16,0,0,12.4803
16,16,1,16,12.5757
16,16,1,32,12.6507
16,16,1,64,12.6397
16,16,1,128,14.9017
16,16,1,256,18.603
16,16,1,512,25.835
16,16,1,1024,40.48
16,16,1,2048,69.8137
16,16,1,4096,128.598
16,16,1,8192,246.476
16,16,1,16384,483.119
16,16,2,16,12.2667
16,16,2,32,12.3733
16,16,2,64,12.3737
16,16,2,128,14.8053
16,16,2,256,18.4323
16,16,2,512,25.8027
16,16,2,1024,40.5123
16,16,2,2048,70.0803
16,16,2,4096,129.068
16,16,2,8192,247.074
16,16,2,16384,484.707
16,16,4,16,12.4263
16,16,4,32,12.3733
16,16,4,64,12.48
16,16,4,128,14.8917
16,16,4,256,18.7523
16,16,4,512,26.1333
16,16,4,1024,41.12
16,16,4,2048,71.296
16,16,4,4096,131.03
16,16,4,8192,249.836
16,16,4,16384,486.307
16,16,8,16,12.0533
16,16,8,32,12.256
16,16,8,64,12.2243
16,16,8,128,14.784
16,16,8,256,18.5277
16,16,8,512,25.9947
16,16,8,1024,41.43
16,16,8,2048,71.5743
16,16,8,4096,132.012
16,16,8,8192,250.466
16,16,8,16384,487.876
16,16,16,16,17.8247
16,16,16,32,18.0277
16,16,16,64,18.208
16,16,16,128,22.5393
16,16,16,256,26.795
16,16,16,512,34.3683
16,16,16,1024,49.1633
16,16,16,2048,79.2
16,16,16,4096,138.582
16,16,16,8192,255.116
16,16,16,16384,492.686
16,16,32,16,23.606
16,16,32,32,24.1067
16,16,32,64,24.6407
16,16,32,128,32.918
16,16,32,256,42.059
16,16,32,512,57.558
16,16,32,1024,86.8163
16,16,32,2048,145.185
16,16,32,4096,267.533
16,16,32,8192,516.879
16,16,32,16384,1009.54
16,16,64,16,35.136
16,16,64,32,35.9583
16,16,64,64,36.3737
16,16,64,128,53.5583
16,16,64,256,81.3337
16,16,64,512,124.502
16,16,64,1024,218.38
16,16,64,2048,406.019
16,16,64,4096,781.094
16,16,64,8192,1533.06
16,16,64,16384,3047.46
16,16,128,16,57.888
16,16,128,32,58.9123
16,16,128,64,60.0643
16,16,128,128,94.2513
16,16,128,256,139.116
16,16,128,512,231.127
16,16,128,1024,417.497
16,16,128,2048,790.875
16,16,128,4096,1543.01
16,16,128,8192,3078.41
16,16,128,16384,6076.58
16,32,0,0,12.512
16,32,1,16,12.555
16,32,1,32,12.64
16,32,1,64,12.6937
16,32,1,128,14.9013
16,32,1,256,18.5493
16,32,1,512,25.707
16,32,1,1024,40.4487
16,32,1,2048,69.803
16,32,1,4096,128.449
16,32,1,8192,246.466
16,32,1,16384,482.97
16,32,2,16,12.2663
16,32,2,32,12.3947
16,32,2,64,12.448
16,32,2,128,14.8263
16,32,2,256,18.4637
16,32,2,512,25.7493
16,32,2,1024,40.5123
16,32,2,2048,70.1657
16,32,2,4096,129.111
16,32,2,8192,247.202
16,32,2,16384,484.537
16,32,4,16,12.3413
16,32,4,32,12.4693
16,32,4,64,12.5763
16,32,4,128,14.9333
16,32,4,256,18.6453
16,32,4,512,26.123
16,32,4,1024,41.163
16,32,4,2048,71.1577
16,32,4,4096,131.137
16,32,4,8192,250.007
16,32,4,16384,486.169
16,32,8,16,12.032
16,32,8,32,12.2027
16,32,8,64,12.2987
16,32,8,128,14.8053
16,32,8,256,18.5067
16,32,8,512,25.9623
16,32,8,1024,41.3013
16,32,8,2048,71.488
16,32,8,4096,131.542
16,32,8,8192,250.477
16,32,8,16384,488.281
16,32,16,16,17.7497
16,32,16,32,18.112
16,32,16,64,18.336
16,32,16,128,22.614
16,32,16,256,26.8053
16,32,16,512,34.7307
16,32,16,1024,49.3017
16,32,16,2048,79.158
16,32,16,4096,138.326
16,32,16,8192,255.298
16,32,16,16384,493.508
16,32,32,16,23.733
16,32,32,32,24.214
16,32,32,64,24.6187
16,32,32,128,32.907
16,32,32,256,41.8033
16,32,32,512,58.3253
16,32,32,1024,85.1527
16,32,32,2048,144.812
16,32,32,4096,266.85
16,32,32,8192,514.778
16,32,32,16384,1009.02
