prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.5737
0,0,1,32,11.5193
0,0,1,64,11.6593
0,0,1,128,16.5123
0,0,1,256,16.8217
0,0,1,512,17.3983
0,0,1,1024,18.3147
0,0,1,2048,20.427
0,0,1,4096,26.4
0,0,1,8192,40.4687
0,0,1,16384,57.899
0,0,2,16,17.877
0,0,2,32,17.909
0,0,2,64,18.0367
0,0,2,128,21.3433
0,0,2,256,21.6317
0,0,2,512,22.4427
0,0,2,1024,23.989
0,0,2,2048,28.5333
0,0,2,4096,39.925
0,0,2,8192,55.1683
0,0,2,16384,88.8643
0,0,4,16,17.9307
0,0,4,32,17.9307
0,0,4,64,18.08
0,0,4,128,21.536
0,0,4,256,21.9197
0,0,4,512,23.4447
0,0,4,1024,27.1787
0,0,4,2048,37.2163
0,0,4,4096,52.1603
0,0,4,8192,82.229
0,0,4,16384,136.48
0,0,8,16,17.813
0,0,8,32,17.898
0,0,8,64,18.0687
0,0,8,128,21.707
0,0,8,256,22.7943
0,0,8,512,26.6553
0,0,8,1024,36.3737
0,0,8,2048,51.574
0,0,8,4096,80.6497
0,0,8,8192,134.731
0,0,8,16384,244.501
0,0,16,16,17.75
0,0,16,32,17.9733
0,0,16,64,18.5387
0,0,16,128,22.5923
0,0,16,256,28.395
0,0,16,512,35.9357
0,0,16,1024,51.648
0,0,16,2048,78.9437
0,0,16,4096,133.109
0,0,16,8192,242.294
0,0,16,16384,463.404
0,0,32,16,18.485
0,0,32,32,18.965
0,0,32,64,20.096
0,0,32,128,28.5967
0,0,32,256,37.9087
0,0,32,512,53.2693
0,0,32,1024,82.0377
0,0,32,2048,140.3
0,0,32,4096,247.616
0,0,32,8192,463.319
0,0,32,16384,905.346
0,0,64,16,23.8933
0,0,64,32,24.533
0,0,64,64,27.425
0,0,64,128,38.347
0,0,64,256,55.0183
0,0,64,512,84.2337
0,0,64,1024,139.978
0,0,64,2048,250.646
0,0,64,4096,471.584
0,0,64,8192,905.047
0,0,64,16384,1786.48
0,0,128,16,35.04
