layer,sequences,time_us
lm_head,1,516.234
lm_head,2,518.305
lm_head,3,519.53
lm_head,4,520.022
lm_head,5,521.322
lm_head,6,521.358
lm_head,7,522.262
lm_head,8,523.36
lm_head,9,522.794
lm_head,10,524.426
lm_head,11,525.23
lm_head,12,525.633
lm_head,13,526.016
lm_head,14,527.883
lm_head,15,529.728
lm_head,16,528.856
lm_head,20,460.374
lm_head,24,461.184
lm_head,28,462.496
lm_head,32,517.366
lm_head,36,516.897
lm_head,40,517.717
lm_head,44,517.397
lm_head,48,517.931
lm_head,52,519.819
lm_head,56,519.318
lm_head,60,521.931
lm_head,64,522.571
lm_head,80,512.875
lm_head,96,515.063
lm_head,112,521.728
lm_head,128,523.659
lm_head,144,628.033
lm_head,160,631.489
lm_head,176,634.945
lm_head,192,599.19
lm_head,208,601.388
lm_head,224,554.55
lm_head,240,556.47
lm_head,256,566.497
sampler,1,38.848
sampler,2,39.307
sampler,3,38.9867
sampler,4,39.36
sampler,5,41.195
sampler,6,41.792
sampler,7,41.9307
sampler,8,44.0433
sampler,9,46.3687
sampler,10,50.358
sampler,11,54.6677
sampler,12,55.6913
sampler,13,58.8803
sampler,14,60.587
sampler,15,62.1767
sampler,16,63.2647
sampler,20,70.774
sampler,24,76.5347
sampler,28,82.8487
sampler,32,89.7817
sampler,36,96.0647
sampler,40,103.937
sampler,44,110.721
sampler,48,119.041
sampler,52,126.71
sampler,56,135.499
sampler,60,143.212
sampler,64,152.066
sampler,80,187.928
sampler,96,224.108
sampler,112,259.257
sampler,128,294.617
sampler,144,327.631
sampler,160,362.852
sampler,176,399.95
sampler,192,436.741
sampler,208,471.664
sampler,224,506.886
sampler,240,542.097
sampler,256,609.724
