layer,sequences,time_us
lm_head,1,3679.43
lm_head,2,3674.32
lm_head,3,3678.17
lm_head,4,3683.95
lm_head,5,3683.58
lm_head,6,3684.37
lm_head,7,3690.03
lm_head,8,3692.98
lm_head,9,3694.19
lm_head,10,3699.16
lm_head,11,3701.75
lm_head,12,3708.5
lm_head,13,3704.06
lm_head,14,3718.77
lm_head,15,3709.51
lm_head,16,3964.61
lm_head,20,3989.33
lm_head,24,4019.98
lm_head,28,4010.04
lm_head,32,4009.53
lm_head,36,4036.42
lm_head,40,4035.21
lm_head,44,4061.34
lm_head,48,4046.9
lm_head,52,4069.43
lm_head,56,4059.12
lm_head,60,4074.83
lm_head,64,4055.55
lm_head,80,4019.72
lm_head,96,4049.77
lm_head,112,4060.04
lm_head,128,4063.73
lm_head,144,4543.41
lm_head,160,4641.05
lm_head,176,4743.67
lm_head,192,4382.4
lm_head,208,4441.43
lm_head,224,4528.19
lm_head,240,4585.41
lm_head,256,4532.78
sampler,1,37.8347
sampler,2,39.4347
sampler,3,39.125
sampler,4,39.637
sampler,5,41.301
sampler,6,41.4507
sampler,7,42.1333
sampler,8,43.093
sampler,9,46.464
sampler,10,50.2297
sampler,11,55.36
sampler,12,56.9167
sampler,13,59.1467
sampler,14,61.1733
sampler,15,62.3253
sampler,16,64.0427
sampler,20,70.5707
sampler,24,76.619
sampler,28,82.8683
sampler,32,89.5257
sampler,36,96.31
sampler,40,103.008
sampler,44,110.453
sampler,48,118.272
sampler,52,126.357
sampler,56,134.848
sampler,60,143.403
sampler,64,151.669
sampler,80,187.275
sampler,96,223.669
sampler,112,258.976
sampler,128,294.176
sampler,144,327.082
sampler,160,362.282
sampler,176,398.197
sampler,192,436.064
sampler,208,471.146
sampler,224,506.271
sampler,240,541.386
sampler,256,609.461
