layer,sequences,time_us
lm_head,1,1042.7
lm_head,2,943.937
lm_head,3,943.884
lm_head,4,945.579
lm_head,5,945.59
lm_head,6,945.451
lm_head,7,946.335
lm_head,8,946.624
lm_head,9,950.144
lm_head,10,948.47
lm_head,11,949.654
lm_head,12,949.822
lm_head,13,950.314
lm_head,14,950.102
lm_head,15,952.672
lm_head,16,952.917
lm_head,20,938.432
lm_head,24,938.825
lm_head,28,941.719
lm_head,32,1035
lm_head,36,1036.86
lm_head,40,1035.08
lm_head,44,1038.04
lm_head,48,1035.76
lm_head,52,1036.33
lm_head,56,1042.62
lm_head,60,1042.12
lm_head,64,1043.84
lm_head,80,1032.15
lm_head,96,1035.33
lm_head,112,1047.36
lm_head,128,1053.91
lm_head,144,1262.43
lm_head,160,1257.26
lm_head,176,1263.04
lm_head,192,1179.4
lm_head,208,1181.79
lm_head,224,1110.31
lm_head,240,1115.94
lm_head,256,1168.89
sampler,1,37.8347
sampler,2,39.4347
sampler,3,39.125
sampler,4,39.637
sampler,5,41.301
sampler,6,41.4507
sampler,7,42.1333
sampler,8,43.093
sampler,9,46.464
sampler,10,50.2297
sampler,11,55.36
sampler,12,56.9167
sampler,13,59.1467
sampler,14,61.1733
sampler,15,62.3253
sampler,16,64.0427
sampler,20,70.5707
sampler,24,76.619
sampler,28,82.8683
sampler,32,89.5257
sampler,36,96.31
sampler,40,103.008
sampler,44,110.453
sampler,48,118.272
sampler,52,126.357
sampler,56,134.848
sampler,60,143.403
sampler,64,151.669
sampler,80,187.275
sampler,96,223.669
sampler,112,258.976
sampler,128,294.176
sampler,144,327.082
sampler,160,362.282
sampler,176,398.197
sampler,192,436.064
sampler,208,471.146
sampler,224,506.271
sampler,240,541.386
sampler,256,609.461
