prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.3623
0,0,1,32,12.373
0,0,1,64,12.5233
0,0,1,128,17.7597
0,0,1,256,17.877
0,0,1,512,18.3667
0,0,1,1024,19.4237
0,0,1,2048,21.6217
0,0,1,4096,27.52
0,0,1,8192,41.3547
0,0,1,16384,58.1757
0,0,2,16,18.112
0,0,2,32,18.134
0,0,2,64,18.304
0,0,2,128,21.7923
0,0,2,256,21.8987
0,0,2,512,22.6453
0,0,2,1024,24.223
0,0,2,2048,28.854
0,0,2,4096,40.0327
0,0,2,8192,56.2773
0,0,2,16384,88.9077
0,0,4,16,18.1117
0,0,4,32,18.1223
0,0,4,64,18.3897
0,0,4,128,21.7493
0,0,4,256,22.112
0,0,4,512,23.5417
0,0,4,1024,27.4127
0,0,4,2048,37.1093
0,0,4,4096,52.341
0,0,4,8192,82.849
0,0,4,16384,136.981
0,0,8,16,18.144
0,0,8,32,18.3253
0,0,8,64,18.4317
0,0,8,128,22.144
0,0,8,256,23.1467
0,0,8,512,26.8907
0,0,8,1024,36.3837
0,0,8,2048,51.605
0,0,8,4096,81.0137
0,0,8,8192,135.456
0,0,8,16384,246.347
0,0,16,16,18.699
0,0,16,32,18.806
0,0,16,64,19.221
0,0,16,128,23.137
0,0,16,256,28.9067
0,0,16,512,36.064
0,0,16,1024,51.595
0,0,16,2048,80.213
0,0,16,4096,134.71
0,0,16,8192,242.283
0,0,16,16384,463.254
0,0,32,16,18.6773
0,0,32,32,18.954
0,0,32,64,19.969
0,0,32,128,28.746
0,0,32,256,38.6457
0,0,32,512,55.2857
0,0,32,1024,84.052
0,0,32,2048,142.176
0,0,32,4096,249.686
0,0,32,8192,465.729
0,0,32,16384,909.078
0,0,64,16,24.2343
0,0,64,32,24.7577
0,0,64,64,27.328
0,0,64,128,38.5707
0,0,64,256,55.585
0,0,64,512,88.981
0,0,64,1024,144.395
0,0,64,2048,256.971
0,0,64,4096,478.539
0,0,64,8192,911.009
0,0,64,16384,1794.47
0,0,128,16,35.5623
0,0,128,32,36.288
0,0,128,64,40.0003
0,0,128,128,62.7207
0,0,128,256,95.457
0,0,128,512,155.744
0,0,128,1024,276.577
0,0,128,2048,514.636
0,0,128,4096,999.469
0,0,128,8192,1962.58
0,0,128,16384,3921.99
0,0,256,16,56.128
0,0,256,32,58.5177
0,0,256,64,64.8427
0,0,256,128,98.2193
0,0,256,256,156.971
0,0,256,512,270.069
0,0,256,1024,498.954
0,0,256,2048,949.953
0,0,256,4096,1863.1
0,0,256,8192,3703.02
0,0,256,16384,7392.48
16,0,0,0,12.5547
16,0,1,16,12.1497
16,0,1,32,12.16
16,0,1,64,12.2133
16,0,1,128,14.6997
16,0,1,256,18.1767
16,0,1,512,25.1747
16,0,1,1024,39.5533
16,0,1,2048,68.3647
16,0,1,4096,125.892
16,0,1,8192,240.359
16,0,1,16384,471.086
16,0,2,16,12.2567
16,0,2,32,12.235
16,0,2,64,12.2783
16,0,2,128,14.902
16,0,2,256,18.4323
16,0,2,512,25.558
16,0,2,1024,39.799
16,0,2,2048,68.6097
16,0,2,4096,126.425
16,0,2,8192,241.009
16,0,2,16384,473.56
16,0,4,16,12.4693
16,0,4,32,12.4063
16,0,4,64,12.4913
16,0,4,128,15.0083
16,0,4,256,18.7313
16,0,4,512,25.8887
16,0,4,1024,40.4807
16,0,4,2048,69.7727
16,0,4,4096,127.918
16,0,4,8192,245.617
16,0,4,16384,477.187
16,0,8,16,17.8667
16,0,8,32,17.9307
16,0,8,64,18.3373
16,0,8,128,24.235
16,0,8,256,31.5633
16,0,8,512,45.8783
16,0,8,1024,74.882
16,0,8,2048,133.817
16,0,8,4096,251.026
16,0,8,8192,486.339
16,0,8,16384,954.384
16,0,16,16,28.502
16,0,16,32,28.9077
16,0,16,64,29.3023
16,0,16,128,41.0357
16,0,16,256,55.361
16,0,16,512,83.7997
16,0,16,1024,142.755
16,0,16,2048,260.711
16,0,16,4096,495.426
16,0,16,8192,966.928
16,0,16,16384,1902.36
16,0,32,16,45.004
16,0,32,32,45.729
16,0,32,64,46.6357
16,0,32,128,67.703
16,0,32,256,93.4
16,0,32,512,146.746
16,0,32,1024,254.535
16,0,32,2048,469.495
16,0,32,4096,1016.17
16,0,32,8192,2131.8
16,0,32,16384,4543.24
16,0,64,16,76.6633
16,0,64,32,78.6583
16,0,64,64,80.3967
16,0,64,128,125.721
16,0,64,256,215.451
16,0,64,512,416.342
16,0,64,1024,814.774
16,0,64,2048,1660.76
16,0,64,4096,3330.33
16,0,64,8192,6928.5
16,0,64,16384,13887.4
16,0,128,16,141.028
16,0,128,32,144.677
16,0,128,64,151.161
16,0,128,128,277.116
16,0,128,256,478.979
16,0,128,512,916.899
16,0,128,1024,1799.56
16,0,128,2048,3558.72
16,0,128,4096,7088.65
16,0,128,8192,14153.2
16,0,128,16384,28282.4
16,16,0,0,12.8643
16,16,1,16,12.5127
16,16,1,32,12.502
16,16,1,64,12.566
16,16,1,128,14.6993
16,16,1,256,18.1123
16,16,1,512,25.2273
16,16,1,1024,39.5427
16,16,1,2048,68.3753
16,16,1,4096,125.934
16,16,1,8192,240.412
16,16,1,16384,470.967
16,16,2,16,12.523
16,16,2,32,12.6827
16,16,2,64,12.6507
16,16,2,128,14.9337
16,16,2,256,18.4427
16,16,2,512,25.5363
16,16,2,1024,39.905
16,16,2,2048,68.706
16,16,2,4096,126.36
16,16,2,8192,241.319
16,16,2,16384,473.111
16,16,4,16,12.6513
16,16,4,32,12.779
16,16,4,64,12.9387
16,16,4,128,15.126
16,16,4,256,18.6673
16,16,4,512,25.8347
16,16,4,1024,40.2363
16,16,4,2048,69.7837
16,16,4,4096,127.939
16,16,4,8192,245.66
16,16,4,16384,477.452
16,16,8,16,18.1333
16,16,8,32,18.3897
16,16,8,64,18.8697
16,16,8,128,24.15
16,16,8,256,31.564
16,16,8,512,45.9423
16,16,8,1024,75.0307
16,16,8,2048,134.361
16,16,8,4096,251.046
16,16,8,8192,486.594
16,16,8,16384,955.481
16,16,16,16,28.7793
16,16,16,32,29.302
16,16,16,64,29.868
16,16,16,128,40.919
16,16,16,256,55.394
16,16,16,512,84.0343
16,16,16,1024,143.098
16,16,16,2048,261.243
16,16,16,4096,494.584
16,16,16,8192,972.783
16,16,16,16384,1906.66
16,16,32,16,44.9507
16,16,32,32,45.8363
16,16,32,64,46.9877
16,16,32,128,67.7143
16,16,32,256,93.389
16,16,32,512,147.012
16,16,32,1024,253.937
16,16,32,2048,467.522
16,16,32,4096,982.49
16,16,32,8192,2107.96
16,16,32,16384,4340.3
16,16,64,16,76.7913
16,16,64,32,78.5617
16,16,64,64,80.6953
16,16,64,128,125.593
16,16,64,256,213.423
16,16,64,512,428.395
16,16,64,1024,802.504
16,16,64,2048,1669.47
16,16,64,4096,3316.74
16,16,64,8192,6902.38
16,16,64,16384,13941.1
16,16,128,16,141.102
16,16,128,32,144.686
16,16,128,64,150.958
16,16,128,128,278.13
16,16,128,256,479.212
16,16,128,512,921.571
16,16,128,1024,1799.25
16,16,128,2048,3557.31
16,16,128,4096,7084.84
16,16,128,8192,14154.1
