prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.362
0,0,1,32,12.384
0,0,1,64,12.3837
0,0,1,128,17.7173
0,0,1,256,17.8553
0,0,1,512,18.1973
0,0,1,1024,19.0397
0,0,1,2048,20.6723
0,0,1,4096,24.5973
0,0,1,8192,32.7783
0,0,1,16384,40.2023
0,0,2,16,14.8693
0,0,2,32,14.9547
0,0,2,64,15.0297
0,0,2,128,20.0643
0,0,2,256,20.2567
0,0,2,512,20.7357
0,0,2,1024,21.6853
0,0,2,2048,24.2343
0,0,2,4096,29.8767
0,0,2,8192,43.7423
0,0,2,16384,59.476
0,0,4,16,14.8267
0,0,4,32,14.9643
0,0,4,64,14.9867
0,0,4,128,20.1917
0,0,4,256,20.394
0,0,4,512,21.002
0,0,4,1024,22.836
0,0,4,2048,27.2743
0,0,4,4096,38.3257
0,0,4,8192,53.877
0,0,4,16384,87.8613
0,0,8,16,14.9333
0,0,8,32,14.976
0,0,8,64,14.9547
0,0,8,128,20.1707
0,0,8,256,20.5433
0,0,8,512,22.0373
0,0,8,1024,25.963
0,0,8,2048,36.1277
0,0,8,4096,51.8937
0,0,8,8192,82.0157
0,0,8,16384,137.013
0,0,16,16,14.9123
0,0,16,32,14.986
0,0,16,64,15.168
0,0,16,128,20.4903
0,0,16,256,21.695
0,0,16,512,25.1843
0,0,16,1024,34.6877
0,0,16,2048,50.7513
0,0,16,4096,80.4693
0,0,16,8192,134.943
0,0,16,16384,245.278
0,0,32,16,15.0187
0,0,32,32,15.1257
0,0,32,64,15.5203
0,0,32,128,21.6217
0,0,32,256,27.3267
0,0,32,512,35.5527
0,0,32,1024,52.683
0,0,32,2048,80.266
0,0,32,4096,135.476
0,0,32,8192,244.275
0,0,32,16384,473.019
0,0,64,16,15.3927
0,0,64,32,15.8287
0,0,64,64,17.0347
0,0,64,128,28.0533
0,0,64,256,38.0053
0,0,64,512,55.4663
0,0,64,1024,83.4773
0,0,64,2048,141.62
0,0,64,4096,250.665
0,0,64,8192,470.503
0,0,64,16384,917.125
0,0,128,16,21.3547
0,0,128,32,21.909
0,0,128,64,24.319
0,0,128,128,35.4663
0,0,128,256,50.8897
0,0,128,512,87.7753
0,0,128,1024,144.202
0,0,128,2048,257.151
0,0,128,4096,480.467
0,0,128,8192,919.396
0,0,128,16384,1803.33
0,0,256,16,32.9177
0,0,256,32,33.0983
0,0,256,64,37.2157
0,0,256,128,58.3787
0,0,256,256,90.3783
0,0,256,512,150.772
0,0,256,1024,270.91
0,0,256,2048,504.413
0,0,256,4096,986.682
0,0,256,8192,1950.73
0,0,256,16384,3898.43
16,0,0,0,12.5333
16,0,1,16,12.373
16,0,1,32,12.2987
16,0,1,64,12.3093
16,0,1,128,14.667
16,0,1,256,18.1117
16,0,1,512,25.0453
16,0,1,1024,39.5093
16,0,1,2048,68.2983
16,0,1,4096,125.908
16,0,1,8192,240.542
16,0,1,16384,471.27
16,0,2,16,12.1923
16,0,2,32,12.2347
16,0,2,64,12.245
16,0,2,128,14.581
16,0,2,256,18.08
16,0,2,512,25.141
16,0,2,1024,39.541
16,0,2,2048,68.394
16,0,2,4096,125.962
16,0,2,8192,240.734
16,0,2,16384,472.924
16,0,4,16,12.2987
16,0,4,32,12.2557
16,0,4,64,12.3303
16,0,4,128,14.7627
16,0,4,256,18.2183
16,0,4,512,25.3863
16,0,4,1024,39.9787
16,0,4,2048,69.0987
16,0,4,4096,127.21
16,0,4,8192,244.105
16,0,4,16384,474.556
16,0,8,16,12.3097
16,0,8,32,12.3727
16,0,8,64,12.4053
16,0,8,128,14.9007
16,0,8,256,18.5597
16,0,8,512,25.8353
16,0,8,1024,40.6823
16,0,8,2048,69.9943
16,0,8,4096,128.18
16,0,8,8192,246.153
16,0,8,16384,478.718
16,0,16,16,17.9837
16,0,16,32,18.1437
16,0,16,64,18.3357
16,0,16,128,24.224
16,0,16,256,31.658
16,0,16,512,45.8773
16,0,16,1024,75.711
16,0,16,2048,135.338
16,0,16,4096,253.705
16,0,16,8192,490.225
16,0,16,16384,964.058
16,0,32,16,28.8747
16,0,32,32,29.1733
16,0,32,64,29.504
16,0,32,128,41.024
16,0,32,256,55.4453
16,0,32,512,85.8657
16,0,32,1024,147.072
16,0,32,2048,267.379
16,0,32,4096,506.759
16,0,32,8192,995.481
16,0,32,16384,1958.37
16,0,64,16,44.789
16,0,64,32,45.7487
16,0,64,64,46.4853
16,0,64,128,70.218
16,0,64,256,118.357
16,0,64,512,214.633
16,0,64,1024,389.298
16,0,64,2048,806.362
16,0,64,4096,1616.49
16,0,64,8192,3514.3
16,0,64,16384,7051.26
16,0,128,16,77.28
16,0,128,32,78.9113
16,0,128,64,81.2583
16,0,128,128,146.858
16,0,128,256,250.59
16,0,128,512,467.122
16,0,128,1024,909.669
16,0,128,2048,1789.55
16,0,128,4096,3575.68
16,0,128,8192,7140.79
16,0,128,16384,14285.6
16,16,0,0,12.8213
16,16,1,16,12.5217
16,16,1,32,12.6183
16,16,1,64,12.5973
16,16,1,128,14.635
16,16,1,256,18.1227
16,16,1,512,25.1193
16,16,1,1024,39.5513
16,16,1,2048,68.3833
16,16,1,4096,126.026
16,16,1,8192,240.51
16,16,1,16384,471.175
16,16,2,16,12.384
16,16,2,32,12.469
