layer,sequences,time_us
lm_head,1,477.521
lm_head,2,477.02
lm_head,3,478.311
lm_head,4,478.918
lm_head,5,480.22
lm_head,6,479.751
lm_head,7,480.529
lm_head,8,480.603
lm_head,9,481.616
lm_head,10,483.259
lm_head,11,483.056
lm_head,12,484.785
lm_head,13,483.516
lm_head,14,483.814
lm_head,15,484.55
lm_head,16,485.115
lm_head,20,513.35
lm_head,24,523.931
lm_head,28,513.788
lm_head,32,512.881
lm_head,36,516.262
lm_head,40,540.86
lm_head,44,542.694
lm_head,48,544.583
lm_head,52,546.097
lm_head,56,551.228
lm_head,60,551.814
lm_head,64,554.001
lm_head,80,532.978
lm_head,96,535.687
lm_head,112,537.468
lm_head,128,542.012
lm_head,144,701.211
lm_head,160,703.579
lm_head,176,705.893
lm_head,192,583.206
lm_head,208,588.188
lm_head,224,841.733
lm_head,240,844.495
lm_head,256,873.86
sampler,1,37.8347
sampler,2,39.4347
sampler,3,39.125
sampler,4,39.637
sampler,5,41.301
sampler,6,41.4507
sampler,7,42.1333
sampler,8,43.093
sampler,9,46.464
sampler,10,50.2297
sampler,11,55.36
sampler,12,56.9167
sampler,13,59.1467
sampler,14,61.1733
sampler,15,62.3253
sampler,16,64.0427
sampler,20,70.5707
sampler,24,76.619
sampler,28,82.8683
sampler,32,89.5257
sampler,36,96.31
sampler,40,103.008
sampler,44,110.453
sampler,48,118.272
sampler,52,126.357
sampler,56,134.848
sampler,60,143.403
sampler,64,151.669
sampler,80,187.275
sampler,96,223.669
sampler,112,258.976
sampler,128,294.176
sampler,144,327.082
sampler,160,362.282
sampler,176,398.197
sampler,192,436.064
sampler,208,471.146
sampler,224,506.271
sampler,240,541.386
sampler,256,609.461
