prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.3297
0,0,1,32,12.2133
0,0,1,64,12.362
0,0,1,128,17.4823
0,0,1,256,17.78
0,0,1,512,18.2493
0,0,1,1024,19.1567
0,0,1,2048,21.4393
0,0,1,4096,29.4503
0,0,1,8192,36.319
0,0,1,16384,53.631
0,0,2,16,17.716
0,0,2,32,17.7063
0,0,2,64,17.792
0,0,2,128,21.2257
0,0,2,256,21.4927
0,0,2,512,22.133
0,0,2,1024,23.6903
0,0,2,2048,30.207
0,0,2,4096,37.3113
0,0,2,8192,54.036
0,0,2,16384,80.0513
0,0,4,16,17.5997
0,0,4,32,17.7277
0,0,4,64,17.781
0,0,4,128,21.2477
0,0,4,256,21.8017
0,0,4,512,23.1243
0,0,4,1024,28.672
0,0,4,2048,35.7433
0,0,4,4096,51.711
0,0,4,8192,76.0303
0,0,4,16384,123.976
0,0,8,16,17.5253
0,0,8,32,17.5883
0,0,8,64,17.781
0,0,8,128,21.4717
0,0,8,256,22.6873
0,0,8,512,28.639
0,0,8,1024,37.823
0,0,8,2048,51.263
0,0,8,4096,80.841
0,0,8,8192,123.635
0,0,8,16384,218.565
0,0,16,16,17.802
0,0,16,32,17.9623
0,0,16,64,18.4523
0,0,16,128,22.7297
0,0,16,256,29.0557
0,0,16,512,38.4527
0,0,16,1024,50.6117
0,0,16,2048,75.209
0,0,16,4096,123.09
0,0,16,8192,217.211
0,0,16,16384,407.393
0,0,32,16,18.6877
0,0,32,32,19.029
0,0,32,64,20.4157
0,0,32,128,30.1433
0,0,32,256,39.1137
0,0,32,512,50.836
0,0,32,1024,75.5387
0,0,32,2048,122.355
0,0,32,4096,216.87
0,0,32,8192,404.236
0,0,32,16384,791.928
0,0,64,16,25.13
0,0,64,32,25.8877
0,0,64,64,27.2953
0,0,64,128,36.7033
0,0,64,256,52.3403
0,0,64,512,77.7157
0,0,64,1024,123.805
0,0,64,2048,219.674
0,0,64,4096,406.742
0,0,64,8192,784.878
0,0,64,16384,1539.14
0,0,128,16,37.792
0,0,128,32,38.8683
0,0,128,64,42.7187
0,0,128,128,60.6497
0,0,128,256,85.3313
0,0,128,512,133.31
0,0,128,1024,227.366
0,0,128,2048,415.35
0,0,128,4096,790.263
0,0,128,8192,1560.38
0,0,128,16384,3056.2
0,0,256,16,63.2083
0,0,256,32,66.5377
0,0,256,64,70.2813
0,0,256,128,102.664
0,0,256,256,146.557
0,0,256,512,242.853
0,0,256,1024,429.206
0,0,256,2048,800.494
0,0,256,4096,1551.47
0,0,256,8192,3087.39
0,0,256,16384,6082.43
16,0,0,0,12.2347
16,0,1,16,12.2663
16,0,1,32,12.256
16,0,1,64,12.1493
16,0,1,128,14.8153
16,0,1,256,18.4747
16,0,1,512,25.7913
16,0,1,1024,40.404
16,0,1,2048,69.844
16,0,1,4096,128.519
16,0,1,8192,247.227
16,0,1,16384,482.773
16,0,2,16,12.2553
16,0,2,32,12.2557
16,0,2,64,12.2987
16,0,2,128,14.8587
16,0,2,256,18.4423
16,0,2,512,26.0157
