prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.4483
0,0,1,32,12.523
0,0,1,64,12.6507
0,0,1,128,18.08
0,0,1,256,18.4967
0,0,1,512,19.5307
0,0,1,1024,25.9947
0,0,1,2048,32.651
0,0,1,4096,48.5013
0,0,1,8192,71.3067
0,0,1,16384,120.32
0,0,2,16,18.3787
0,0,2,32,18.4643
0,0,2,64,18.6133
0,0,2,128,22.2933
0,0,2,256,23.1683
0,0,2,512,29.675
0,0,2,1024,37.963
0,0,2,2048,51.019
0,0,2,4096,80.267
0,0,2,8192,122.86
0,0,2,16384,214.113
0,0,4,16,18.4427
0,0,4,32,18.6343
0,0,4,64,19.0933
0,0,4,128,23.2327
0,0,4,256,29.6537
0,0,4,512,37.845
0,0,4,1024,49.3443
0,0,4,2048,73.5147
0,0,4,4096,120.374
0,0,4,8192,217.217
0,0,4,16384,407.191
0,0,8,16,19.1363
0,0,8,32,19.52
0,0,8,64,20.374
0,0,8,128,30.5493
0,0,8,256,39.1687
0,0,8,512,50.336
0,0,8,1024,74.1763
0,0,8,2048,120.939
0,0,8,4096,215.297
0,0,8,8192,404.365
0,0,8,16384,780.036
0,0,16,16,25.3437
0,0,16,32,26.1013
0,0,16,64,27.382
0,0,16,128,36.4483
0,0,16,256,50.464
0,0,16,512,75.0513
0,0,16,1024,121.301
0,0,16,2048,217.569
0,0,16,4096,404.877
0,0,16,8192,781.102
0,0,16,16384,1535.99
0,0,32,16,37.4293
0,0,32,32,38.326
0,0,32,64,41.227
0,0,32,128,57.5363
0,0,32,256,82.7103
0,0,32,512,131.329
0,0,32,1024,223.756
0,0,32,2048,411.703
0,0,32,4096,788.74
0,0,32,8192,1541.53
0,0,32,16384,3051.19
0,0,64,16,60.7897
0,0,64,32,63.467
0,0,64,64,65.9213
0,0,64,128,96.321
0,0,64,256,143.766
0,0,64,512,235.841
0,0,64,1024,424.525
0,0,64,2048,802.362
0,0,64,4096,1563.88
0,0,64,8192,3115.97
0,0,64,16384,6121.45
0,0,128,16,111.798
