pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0294,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1003,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0012,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0986,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.0598,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0603,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0503,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.0524,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0179,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0022,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.0801,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.003,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.236,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.1513,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.2051,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0007,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0009,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.001,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0004,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0009,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0008,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0293,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0247,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0267,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0327,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.026,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.032,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.002,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0012,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0011,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0016,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0007,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0016,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.0014,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0011,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0013,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0016,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0015,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0011,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0622,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0587,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.063,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0636,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0614,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0663,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0012,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0013,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0009,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0009,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0004,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0007,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0023,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0022,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0023,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0022,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0021,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0022,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0054,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0029,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0035,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0055,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.001,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.008,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0026,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0026,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0014,8
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0027,8
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0014,8
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.0032,8
16,n<=128,sr<=70%,kvB<=16k,kp<=1k,-0.0038,2
16,n<=128,sr<=70%,kvB<=16k,kp<=2k,-0.003,2
16,n<=128,sr<=70%,kvB<=16k,kp<=4k,-0.0023,2
16,n<=128,sr<=70%,kvB<=16k,kp<=512,-0.0034,2
16,n<=128,sr<=70%,kvB<=16k,kp<=8k,-0.0001,2
16,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0037,2
16,n<=128,sr<=70%,kvB<=1k,kp<=1k,0.0816,2
16,n<=128,sr<=70%,kvB<=1k,kp<=2k,0.0789,2
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.0778,2
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.0849,2
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.0693,2
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.0919,2
16,n<=128,sr<=70%,kvB<=4k,kp<=1k,-0.0032,2
16,n<=128,sr<=70%,kvB<=4k,kp<=2k,-0.0023,2
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0041,2
16,n<=128,sr<=70%,kvB<=4k,kp<=512,-0.0027,2
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.007,2
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0046,2
16,n<=128,sr>70%,kvB<=16k,kp<=1k,-0.0046,4
16,n<=128,sr>70%,kvB<=16k,kp<=2k,-0.005,4
16,n<=128,sr>70%,kvB<=16k,kp<=4k,-0.0003,4
16,n<=128,sr>70%,kvB<=16k,kp<=512,-0.0013,4
16,n<=128,sr>70%,kvB<=16k,kp<=8k,0.0026,4
16,n<=128,sr>70%,kvB<=16k,kp=0,-0.0022,4
16,n<=128,sr>70%,kvB<=1k,kp<=1k,0.0566,4
16,n<=128,sr>70%,kvB<=1k,kp<=2k,0.0614,4
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.0812,4
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.0653,4
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.0988,4
16,n<=128,sr>70%,kvB<=1k,kp=0,0.056,4
16,n<=128,sr>70%,kvB<=4k,kp<=1k,-0.0019,4
16,n<=128,sr>70%,kvB<=4k,kp<=2k,-0.0036,4
16,n<=128,sr>70%,kvB<=4k,kp<=4k,-0.0071,4
16,n<=128,sr>70%,kvB<=4k,kp<=512,-0.0039,4
16,n<=128,sr>70%,kvB<=4k,kp<=8k,-0.0002,4
16,n<=128,sr>70%,kvB<=4k,kp=0,-0.0019,4
16,n<=16,sr<=15%,kvB<=16k,kp<=1k,0.1167,4
16,n<=16,sr<=15%,kvB<=16k,kp<=2k,0.1005,4
16,n<=16,sr<=15%,kvB<=16k,kp<=4k,0.0573,4
16,n<=16,sr<=15%,kvB<=16k,kp<=512,0.1343,4
16,n<=16,sr<=15%,kvB<=16k,kp<=8k,0.0098,4
16,n<=16,sr<=15%,kvB<=16k,kp=0,0.1085,4
16,n<=16,sr<=15%,kvB<=1k,kp<=1k,0.0485,4
16,n<=16,sr<=15%,kvB<=1k,kp<=2k,0.0698,4
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.0675,4
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.1203,4
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.0609,4
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.1409,4
16,n<=16,sr<=15%,kvB<=4k,kp<=1k,0.0993,4
16,n<=16,sr<=15%,kvB<=4k,kp<=2k,0.059,4
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.0092,4
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.1175,4
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.028,4
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.1335,4
16,n<=16,sr<=40%,kvB<=16k,kp<=1k,0.1586,4
16,n<=16,sr<=40%,kvB<=16k,kp<=2k,0.1144,4
16,n<=16,sr<=40%,kvB<=16k,kp<=4k,0.0795,4
16,n<=16,sr<=40%,kvB<=16k,kp<=512,0.1984,4
16,n<=16,sr<=40%,kvB<=16k,kp<=8k,0.0467,4
16,n<=16,sr<=40%,kvB<=16k,kp=0,0.1729,4
16,n<=16,sr<=40%,kvB<=1k,kp<=1k,0.075,4
16,n<=16,sr<=40%,kvB<=1k,kp<=2k,0.0638,4
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.0568,4
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.1288,4
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.0593,4
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.1516,4
16,n<=16,sr<=40%,kvB<=4k,kp<=1k,0.1054,4
16,n<=16,sr<=40%,kvB<=4k,kp<=2k,0.0888,4
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.0731,4
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.1281,4
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0981,4
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.1657,4
16,n<=16,sr<=70%,kvB<=16k,kp<=1k,0.3809,2
16,n<=16,sr<=70%,kvB<=16k,kp<=2k,0.3133,2
16,n<=16,sr<=70%,kvB<=16k,kp<=4k,0.2457,2
16,n<=16,sr<=70%,kvB<=16k,kp<=512,0.5043,2
16,n<=16,sr<=70%,kvB<=16k,kp<=8k,0.2523,2
16,n<=16,sr<=70%,kvB<=16k,kp=0,0.486,2
16,n<=16,sr<=70%,kvB<=1k,kp<=1k,0.0426,2
16,n<=16,sr<=70%,kvB<=1k,kp<=2k,0.0187,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.0707,2
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.0961,2
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.1408,2
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.1339,2
16,n<=16,sr<=70%,kvB<=4k,kp<=1k,0.3523,2
16,n<=16,sr<=70%,kvB<=4k,kp<=2k,0.3658,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.3046,2
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.4117,2
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.438,2
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.3702,2
16,n<=16,sr>70%,kvB<=16k,kp<=1k,0.9663,4
16,n<=16,sr>70%,kvB<=16k,kp<=2k,0.6878,4
16,n<=16,sr>70%,kvB<=16k,kp<=4k,0.5395,4
16,n<=16,sr>70%,kvB<=16k,kp<=512,1.282,4
16,n<=16,sr>70%,kvB<=16k,kp<=8k,0.4698,3
16,n<=16,sr>70%,kvB<=16k,kp=0,1.2141,4
16,n<=16,sr>70%,kvB<=1k,kp<=1k,0.173,4
16,n<=16,sr>70%,kvB<=1k,kp<=2k,0.1403,4
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.2674,4
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.1986,4
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.3072,4
16,n<=16,sr>70%,kvB<=1k,kp=0,0.3906,4
16,n<=16,sr>70%,kvB<=4k,kp<=1k,0.7056,4
16,n<=16,sr>70%,kvB<=4k,kp<=2k,0.8294,4
16,n<=16,sr>70%,kvB<=4k,kp<=4k,1.1278,4
16,n<=16,sr>70%,kvB<=4k,kp<=512,1.3175,4
16,n<=16,sr>70%,kvB<=4k,kp<=8k,1.0587,3
16,n<=16,sr>70%,kvB<=4k,kp=0,1.4568,4
16,n<=2,sr<=70%,kvB<=16k,kp<=1k,0.591,2
16,n<=2,sr<=70%,kvB<=16k,kp<=2k,0.1568,2
16,n<=2,sr<=70%,kvB<=16k,kp<=4k,0.072,2
16,n<=2,sr<=70%,kvB<=16k,kp<=512,0.7286,2
16,n<=2,sr<=70%,kvB<=16k,kp<=8k,0.3483,2
16,n<=2,sr<=70%,kvB<=16k,kp=0,0.9318,2
16,n<=2,sr<=70%,kvB<=1k,kp<=1k,0.7338,2
16,n<=2,sr<=70%,kvB<=1k,kp<=2k,0.6108,2
16,n<=2,sr<=70%,kvB<=1k,kp<=4k,0.6526,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.3473,2
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.4956,2
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.1255,2
16,n<=2,sr<=70%,kvB<=4k,kp<=1k,0.0888,2
16,n<=2,sr<=70%,kvB<=4k,kp<=2k,0.3388,2
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.7271,2
16,n<=2,sr<=70%,kvB<=4k,kp<=512,-0.0006,2
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.4298,2
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.7969,2
16,n<=32,sr<=15%,kvB<=16k,kp<=1k,0.0589,6
16,n<=32,sr<=15%,kvB<=16k,kp<=2k,0.0497,6
16,n<=32,sr<=15%,kvB<=16k,kp<=4k,0.0374,6
16,n<=32,sr<=15%,kvB<=16k,kp<=512,0.0799,6
16,n<=32,sr<=15%,kvB<=16k,kp<=8k,0.0317,6
16,n<=32,sr<=15%,kvB<=16k,kp=0,0.0768,6
16,n<=32,sr<=15%,kvB<=1k,kp<=1k,0.0589,6
16,n<=32,sr<=15%,kvB<=1k,kp<=2k,0.0536,6
16,n<=32,sr<=15%,kvB<=1k,kp<=4k,0.0433,6
16,n<=32,sr<=15%,kvB<=1k,kp<=512,0.0772,6
16,n<=32,sr<=15%,kvB<=1k,kp<=8k,0.0584,6
16,n<=32,sr<=15%,kvB<=1k,kp=0,0.1048,6
16,n<=32,sr<=15%,kvB<=4k,kp<=1k,0.0784,6
16,n<=32,sr<=15%,kvB<=4k,kp<=2k,0.0572,6
16,n<=32,sr<=15%,kvB<=4k,kp<=4k,0.0687,6
16,n<=32,sr<=15%,kvB<=4k,kp<=512,0.0869,6
16,n<=32,sr<=15%,kvB<=4k,kp<=8k,0.0487,6
16,n<=32,sr<=15%,kvB<=4k,kp=0,0.1278,6
16,n<=32,sr<=40%,kvB<=16k,kp<=1k,0.0818,2
16,n<=32,sr<=40%,kvB<=16k,kp<=2k,0.071,2
16,n<=32,sr<=40%,kvB<=16k,kp<=4k,0.0728,2
16,n<=32,sr<=40%,kvB<=16k,kp<=512,0.1088,2
16,n<=32,sr<=40%,kvB<=16k,kp<=8k,0.0559,2
16,n<=32,sr<=40%,kvB<=16k,kp=0,0.0935,2
16,n<=32,sr<=40%,kvB<=1k,kp<=1k,0.0747,2
16,n<=32,sr<=40%,kvB<=1k,kp<=2k,0.0751,2
16,n<=32,sr<=40%,kvB<=1k,kp<=4k,0.1174,2
16,n<=32,sr<=40%,kvB<=1k,kp<=512,0.0908,2
16,n<=32,sr<=40%,kvB<=1k,kp<=8k,0.1471,2
16,n<=32,sr<=40%,kvB<=1k,kp=0,0.1523,2
16,n<=32,sr<=40%,kvB<=4k,kp<=1k,0.1143,2
16,n<=32,sr<=40%,kvB<=4k,kp<=2k,0.1379,2
16,n<=32,sr<=40%,kvB<=4k,kp<=4k,0.1027,2
16,n<=32,sr<=40%,kvB<=4k,kp<=512,0.1754,2
16,n<=32,sr<=40%,kvB<=4k,kp<=8k,0.0841,2
16,n<=32,sr<=40%,kvB<=4k,kp=0,0.2333,2
16,n<=32,sr<=5%,kvB<=16k,kp<=1k,0.0467,2
16,n<=32,sr<=5%,kvB<=16k,kp<=2k,0.0426,2
16,n<=32,sr<=5%,kvB<=16k,kp<=4k,0.0426,2
16,n<=32,sr<=5%,kvB<=16k,kp<=512,0.0688,2
16,n<=32,sr<=5%,kvB<=16k,kp<=8k,0.0199,2
16,n<=32,sr<=5%,kvB<=16k,kp=0,0.0579,2
16,n<=32,sr<=5%,kvB<=1k,kp<=1k,0.0162,2
16,n<=32,sr<=5%,kvB<=1k,kp<=2k,0.0125,2
16,n<=32,sr<=5%,kvB<=1k,kp<=4k,0.0015,2
16,n<=32,sr<=5%,kvB<=1k,kp<=512,0.0385,2
16,n<=32,sr<=5%,kvB<=1k,kp<=8k,0.0119,2
16,n<=32,sr<=5%,kvB<=1k,kp=0,0.0568,2
