pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0199,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0395,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0112,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0008,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.0471,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0058,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0291,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0097,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0278,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0062,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0366,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.007,2
0,n<=128,sr>70%,kvB<=16k,kp=0,0.0385,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.132,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0289,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.1193,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0609,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0898,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0386,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0772,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.0076,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0072,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0419,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0035,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.2424,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.1852,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.2069,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0352,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.1403,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.4807,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0003,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0434,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0042,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0029,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.076,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0036,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0019,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0031,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0045,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0065,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.0517,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0072,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.01,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.1645,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0153,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.2387,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.2385,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.2302,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.1075,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1285,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0934,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2833,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.2556,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.2847,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.1386,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.258,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.1562,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.275,4
0,n<=32,sr>70%,kvB<=1k,kp=0,0.2999,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.269,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0421,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.2004,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0565,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,0.0675,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,-0.1489,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.3378,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.7089,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.0617,2
0,n<=4,sr>70%,kvB<=4k,kp=0,-0.2505,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0869,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0806,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,0.0857,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,0.0901,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0615,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0578,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.1229,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0926,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,0.1176,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.001,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,-0.0336,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0116,2
0,n<=64,sr>70%,kvB<=16k,kp=0,0.0336,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1092,4
0,n<=64,sr>70%,kvB<=4k,kp=0,0.0254,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0975,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.097,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0801,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0375,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,-0.0353,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,-0.0209,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0003,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,-0.1123,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.0171,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.2654,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.2453,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.4569,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.0029,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0029,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0032,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0025,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0027,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0027,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.0307,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0252,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0293,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0346,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.0255,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0365,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.003,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0024,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.002,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0031,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0006,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0029,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.0013,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0017,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0002,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0016,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0021,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0011,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,0.0613,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.063,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0567,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.0652,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0567,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.0645,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0019,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0037,2
