pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0117,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0134,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0091,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0175,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,-0.0008,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0191,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0113,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0006,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.011,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0444,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0313,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0451,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.1399,4
0,n<=128,sr>70%,kvB<=1k,kp=0,-0.0089,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.101,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0079,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.0231,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0152,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0076,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.0839,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0042,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0236,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0725,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0571,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.0006,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.1452,4
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0492,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,-0.0465,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.2152,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.1309,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0031,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0098,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0019,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0058,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0154,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0078,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.0013,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0009,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0001,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0155,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.012,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0134,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.0361,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.0311,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.0068,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0011,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1061,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,-0.0068,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,-0.011,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.1225,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0075,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0016,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0734,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,-0.0027,2
