prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,16,4,128,14.5707
16,16,4,256,18.1013
16,16,4,512,25.248
16,16,4,1024,40.139
16,16,4,2048,70.6243
16,16,4,4096,130.625
16,16,4,8192,249.389
16,16,4,16384,485.572
16,16,8,16,11.851
16,16,8,32,11.9577
16,16,8,64,12.0427
16,16,8,128,14.6353
16,16,8,256,18.208
16,16,8,512,25.632
16,16,8,1024,41.035
16,16,8,2048,71.318
16,16,8,4096,131.35
16,16,8,8192,250.061
16,16,8,16384,488.196
16,16,16,16,17.4613
16,16,16,32,17.8027
16,16,16,64,18.08
16,16,16,128,22.539
16,16,16,256,27.115
16,16,16,512,34.6987
16,16,16,1024,49.3017
16,16,16,2048,79.051
16,16,16,4096,138.124
16,16,16,8192,254.424
16,16,16,16384,493.796
16,16,32,16,23.2107
16,16,32,32,23.6693
16,16,32,64,23.9683
16,16,32,128,32.7577
16,16,32,256,42.9973
16,16,32,512,58.571
16,16,32,1024,86.678
16,16,32,2048,143.575
16,16,32,4096,266.541
16,16,32,8192,515.066
16,16,32,16384,1010.87
16,16,64,16,34.465
16,16,64,32,35.051
16,16,64,64,35.392
16,16,64,128,53.1843
16,16,64,256,81.4617
16,16,64,512,126.273
16,16,64,1024,217.73
16,16,64,2048,405.241
16,16,64,4096,780.753
16,16,64,8192,1533.92
16,16,64,16384,3050.73
16,16,128,16,57.558
16,16,128,32,58.496
16,16,128,64,59.2327
16,16,128,128,95.1047
16,16,128,256,141.665
16,16,128,512,232.866
16,16,128,1024,418.617
16,16,128,2048,790.3
16,16,128,4096,1541.29
16,16,128,8192,3057.86
16,16,128,16384,6081.01
16,32,0,0,12.0647
16,32,1,16,11.957
16,32,1,32,12.0107
16,32,1,64,12.0853
16,32,1,128,14.368
16,32,1,256,17.9207
16,32,1,512,24.907
16,32,1,1024,39.4563
16,32,1,2048,68.8437
16,32,1,4096,127.639
16,32,1,8192,245.977
16,32,1,16384,482.639
16,32,2,16,11.7333
16,32,2,32,11.7653
16,32,2,64,11.8397
16,32,2,128,14.4103
