prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,12.1387
0,0,1,32,12.2343
0,0,1,64,12.3837
0,0,1,128,17.6117
0,0,1,256,18.0167
0,0,1,512,19.605
0,0,1,1024,23.6057
0,0,1,2048,34.0903
0,0,1,4096,49.1417
0,0,1,8192,79.6807
0,0,1,16384,135.768
0,0,2,16,18.0807
0,0,2,32,18.154
0,0,2,64,18.2623
0,0,2,128,22.0047
0,0,2,256,23.1153
0,0,2,512,26.88
0,0,2,1024,36.6077
0,0,2,2048,52.2777
0,0,2,4096,81.5157
0,0,2,8192,137.079
0,0,2,16384,247.351
0,0,4,16,18.1543
0,0,4,32,18.4
0,0,4,64,18.8807
0,0,4,128,23.104
0,0,4,256,27.808
0,0,4,512,35.531
0,0,4,1024,50.785
0,0,4,2048,79.2227
0,0,4,4096,134.402
0,0,4,8192,241.783
0,0,4,16384,460.378
0,0,8,16,18.763
0,0,8,32,19.3387
0,0,8,64,20.2987
0,0,8,128,29.142
0,0,8,256,38.614
0,0,8,512,52.79
0,0,8,1024,82.0917
0,0,8,2048,140.524
0,0,8,4096,250.658
0,0,8,8192,464.558
0,0,8,16384,913.472
0,0,16,16,24.4803
0,0,16,32,25.3123
0,0,16,64,27.1787
0,0,16,128,37.226
0,0,16,256,53.8887
0,0,16,512,83.223
0,0,16,1024,140.972
0,0,16,2048,255.32
0,0,16,4096,484.165
0,0,16,8192,911.787
0,0,16,16384,1813.79
0,0,32,16,34.8267
0,0,32,32,35.4247
0,0,32,64,38.571
0,0,32,128,58.656
0,0,32,256,92.406
0,0,32,512,156.589
0,0,32,1024,278.563
0,0,32,2048,520.296
0,0,32,4096,1011.51
0,0,32,8192,2006.48
0,0,32,16384,3998.14
0,0,64,16,51.734
0,0,64,32,53.654
0,0,64,64,57.0347
0,0,64,128,91.1373
0,0,64,256,153.42
0,0,64,512,277.625
0,0,64,1024,511.847
0,0,64,2048,976.416
0,0,64,4096,1924.45
0,0,64,8192,3815.45
0,0,64,16384,7643.27
0,0,128,16,89.3983
0,0,128,32,90.8053
0,0,128,64,96.6843
0,0,128,128,170.349
0,0,128,256,273.987
