layer,sequences,time_us
lm_head,1,1853.25
lm_head,2,1819.71
lm_head,3,1822.23
lm_head,4,1822.91
lm_head,5,1825.5
lm_head,6,1827.27
lm_head,7,1828.15
lm_head,8,1830.92
lm_head,9,1833.06
lm_head,10,1834.82
lm_head,11,1834.85
lm_head,12,1837.29
lm_head,13,1837.69
lm_head,14,1839.32
lm_head,15,1840.15
lm_head,16,1843.45
lm_head,20,1976.89
lm_head,24,1977.32
lm_head,28,1987.6
lm_head,32,1983.88
lm_head,36,1992.47
lm_head,40,1995.98
lm_head,44,1996.01
lm_head,48,2000.22
lm_head,52,1996.36
lm_head,56,1997.01
lm_head,60,2006.97
lm_head,64,2013.55
lm_head,80,2010.8
lm_head,96,2028.34
lm_head,112,2040.93
lm_head,128,2045.96
lm_head,144,2180.64
lm_head,160,2196.39
lm_head,176,2218.57
lm_head,192,2170.28
lm_head,208,2216.81
lm_head,224,2241.65
lm_head,240,2234.71
lm_head,256,2274.03
sampler,1,38.848
sampler,2,39.307
sampler,3,38.9867
sampler,4,39.36
sampler,5,41.195
sampler,6,41.792
sampler,7,41.9307
sampler,8,44.0433
sampler,9,46.3687
sampler,10,50.358
sampler,11,54.6677
sampler,12,55.6913
sampler,13,58.8803
sampler,14,60.587
sampler,15,62.1767
sampler,16,63.2647
sampler,20,70.774
sampler,24,76.5347
sampler,28,82.8487
sampler,32,89.7817
sampler,36,96.0647
sampler,40,103.937
sampler,44,110.721
sampler,48,119.041
sampler,52,126.71
sampler,56,135.499
sampler,60,143.212
sampler,64,152.066
sampler,80,187.928
sampler,96,224.108
sampler,112,259.257
sampler,128,294.617
sampler,144,327.631
sampler,160,362.852
sampler,176,399.95
sampler,192,436.741
sampler,208,471.664
sampler,224,506.886
sampler,240,542.097
sampler,256,609.724
