pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0061,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0128,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0083,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0016,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.005,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0014,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.0124,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.005,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0126,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0155,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,-0.0078,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0104,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0291,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.0453,4
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0033,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0024,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1027,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,-0.0075,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,-0.0122,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1015,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,-0.0055,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,-0.0268,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.0613,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.0173,2
0,n<=16,sr>70%,kvB<=16k,kp=0,-0.0087,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.3213,4
0,n<=16,sr>70%,kvB<=4k,kp=0,-0.0052,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.0316,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.1555,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,-0.1874,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0004,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0081,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0007,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0009,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.0109,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0026,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,0.0003,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0003,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.001,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.0013,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.0044,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0022,2
0,n<=256,sr>70%,kvB<=16k,kp=0,0.0054,4
0,n<=256,sr>70%,kvB<=1k,kp=0,0.016,4
0,n<=256,sr>70%,kvB<=4k,kp=0,0.005,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0286,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.051,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0277,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0119,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0062,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,-0.0086,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.0533,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.049,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.058,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.1088,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.1479,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0911,2
0,n<=32,sr>70%,kvB<=16k,kp=0,-0.3559,4
0,n<=32,sr>70%,kvB<=1k,kp=0,-0.2591,4
0,n<=32,sr>70%,kvB<=4k,kp=0,-0.3097,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.0087,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,-0.0067,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.0249,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0167,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.0731,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,-0.0292,2
0,n<=4,sr>70%,kvB<=16k,kp=0,0.0527,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.0565,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.1909,2
