prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,11.4457
0,0,1,32,11.4987
0,0,1,64,11.5413
0,0,1,128,16.47
0,0,1,256,16.6933
0,0,1,512,17.184
0,0,1,1024,18.1013
0,0,1,2048,19.8297
0,0,1,4096,23.2843
0,0,1,8192,31.776
0,0,1,16384,39.414
0,0,2,16,14.4643
0,0,2,32,14.5923
0,0,2,64,14.5387
0,0,2,128,19.4773
0,0,2,256,19.6163
0,0,2,512,20.1173
0,0,2,1024,21.2483
0,0,2,2048,23.594
0,0,2,4096,29.27
0,0,2,8192,43.3597
0,0,2,16384,57.9847
0,0,4,16,14.3677
0,0,4,32,14.4427
0,0,4,64,14.5067
0,0,4,128,19.467
0,0,4,256,19.606
0,0,4,512,20.246
0,0,4,1024,22.176
0,0,4,2048,27.0183
0,0,4,4096,38.2293
0,0,4,8192,52.715
0,0,4,16384,86.177
0,0,8,16,14.4853
0,0,8,32,14.4747
0,0,8,64,14.56
0,0,8,128,19.616
0,0,8,256,20.161
0,0,8,512,21.76
0,0,8,1024,25.7393
0,0,8,2048,36.096
0,0,8,4096,50.6993
0,0,8,8192,81.2377
0,0,8,16384,135.872
0,0,16,16,14.3687
0,0,16,32,14.4423
0,0,16,64,14.5283
0,0,16,128,19.882
0,0,16,256,21.2477
0,0,16,512,25.4297
0,0,16,1024,35.5623
0,0,16,2048,51.2753
0,0,16,4096,79.254
0,0,16,8192,134.774
0,0,16,16384,246.39
0,0,32,16,14.5813
0,0,32,32,14.848
0,0,32,64,15.2753
0,0,32,128,21.6103
0,0,32,256,26.9653
0,0,32,512,35.563
0,0,32,1024,50.3357
0,0,32,2048,79.915
0,0,32,4096,133.814
0,0,32,8192,243.265
0,0,32,16384,466.765
0,0,64,16,14.9653
0,0,64,32,15.5413
0,0,64,64,16.9067
0,0,64,128,27.6377
0,0,64,256,38.1753
0,0,64,512,53.0883
0,0,64,1024,81.6427
0,0,64,2048,140.129
0,0,64,4096,247.062
0,0,64,8192,467.127
0,0,64,16384,910.415
0,0,128,16,21.2377
0,0,128,32,22.0267
0,0,128,64,24.7043
0,0,128,128,35.52
0,0,128,256,51.0827
0,0,128,512,84.117
0,0,128,1024,140.79
0,0,128,2048,252.108
0,0,128,4096,473.688
0,0,128,8192,912.132
0,0,128,16384,1795.67
0,0,256,16,32.491
0,0,256,32,32.5867
0,0,256,64,36.3737
0,0,256,128,57.366
0,0,256,256,88.95
0,0,256,512,148.972
0,0,256,1024,267.745
0,0,256,2048,505.645
0,0,256,4096,978.608
0,0,256,8192,1951.55
0,0,256,16384,3896.66
16,0,0,0,12.7037
16,0,1,16,12.7147
16,0,1,32,12.7573
16,0,1,64,12.7683
16,0,1,128,15.072
16,0,1,256,18.571
16,0,1,512,25.5253
16,0,1,1024,39.9573
16,0,1,2048,68.9603
16,0,1,4096,126.613
16,0,1,8192,241.612
16,0,1,16384,473.847
16,0,2,16,12.544
16,0,2,32,12.427
16,0,2,64,12.4587
16,0,2,128,15.04
16,0,2,256,18.4747
16,0,2,512,25.3443
16,0,2,1024,39.744
16,0,2,2048,68.4907
16,0,2,4096,126.198
16,0,2,8192,241.921
16,0,2,16384,474.157
16,0,4,16,12.256
16,0,4,32,12.331
16,0,4,64,12.256
16,0,4,128,14.7303
16,0,4,256,18.3893
16,0,4,512,25.451
16,0,4,1024,39.776
16,0,4,2048,69.1633
16,0,4,4096,127.147
16,0,4,8192,244.14
16,0,4,16384,474.285
16,0,8,16,12.032
16,0,8,32,12.0427
16,0,8,64,12.1597
16,0,8,128,14.6557
16,0,8,256,18.219
16,0,8,512,25.344
16,0,8,1024,40.1497
16,0,8,2048,69.4297
16,0,8,4096,127.307
16,0,8,8192,244.779
16,0,8,16384,476.642
16,0,16,16,12.1493
16,0,16,32,12.16
16,0,16,64,12.1813
16,0,16,128,14.7627
16,0,16,256,18.496
16,0,16,512,26.6353
16,0,16,1024,41.1633
16,0,16,2048,70.859
16,0,16,4096,129.782
16,0,16,8192,247.766
16,0,16,16384,480.621
16,0,32,16,18.0803
16,0,32,32,18.1443
16,0,32,64,18.5703
16,0,32,128,24.4373
16,0,32,256,32.2667
16,0,32,512,47.915
16,0,32,1024,80.2567
16,0,32,2048,142.497
16,0,32,4096,267.457
16,0,32,8192,521.869
16,0,32,16384,1022.87
16,0,64,16,28.8427
16,0,64,32,29.3443
16,0,64,64,29.7493
16,0,64,128,44.438
16,0,64,256,70.294
16,0,64,512,119.296
16,0,64,1024,214.881
16,0,64,2048,408.588
16,0,64,4096,796.357
16,0,64,8192,1676.46
16,0,64,16384,3599.67
16,0,128,16,45.2053
16,0,128,32,46.1973
16,0,128,64,48.3947
16,0,128,128,84.9073
16,0,128,256,138.816
16,0,128,512,254.039
16,0,128,1024,477.709
16,0,128,2048,928.357
16,0,128,4096,1844.5
16,0,128,8192,3671.47
16,0,128,16384,7344.34
16,16,0,0,13.0023
16,16,1,16,12.843
16,16,1,32,12.8427
16,16,1,64,12.8537
16,16,1,128,15.0827
16,16,1,256,18.5707
16,16,1,512,25.4937
16,16,1,1024,39.8833
16,16,1,2048,68.864
16,16,1,4096,126.646
16,16,1,8192,241.537
16,16,1,16384,473.506
16,16,2,16,12.7043
16,16,2,32,12.7143
16,16,2,64,12.8323
16,16,2,128,15.008
16,16,2,256,18.4647
16,16,2,512,25.4187
16,16,2,1024,39.787
16,16,2,2048,68.4587
16,16,2,4096,126.144
16,16,2,8192,241.793
16,16,2,16384,474.22
16,16,4,16,12.3417
16,16,4,32,12.4587
16,16,4,64,12.587
16,16,4,128,14.7307
16,16,4,256,18.3783
16,16,4,512,25.4187
16,16,4,1024,39.883
16,16,4,2048,68.9067
16,16,4,4096,127.052
16,16,4,8192,243.938
16,16,4,16384,474.103
16,16,8,16,12.384
16,16,8,32,12.4477
16,16,8,64,12.5013
16,16,8,128,14.678
16,16,8,256,18.1333
16,16,8,512,25.5147
16,16,8,1024,39.851
16,16,8,2048,69.2593
16,16,8,4096,127.242
16,16,8,8192,244.716
16,16,8,16384,476.312
16,16,16,16,12.4693
16,16,16,32,12.651
16,16,16,64,12.832
16,16,16,128,14.6557
16,16,16,256,18.4963
16,16,16,512,26.603
16,16,16,1024,41.1733
16,16,16,2048,70.582
16,16,16,4096,129.835
16,16,16,8192,247.522
16,16,16,16384,481.698
16,16,32,16,18.144
16,16,32,32,18.5713
16,16,32,64,19.094
16,16,32,128,24.5013
16,16,32,256,32.3733
16,16,32,512,48.032
16,16,32,1024,80.2133
16,16,32,2048,142.753
16,16,32,4096,268.279
16,16,32,8192,521.081
16,16,32,16384,1020.74
16,16,64,16,28.8
16,16,64,32,29.3337
16,16,64,64,30.1653
16,16,64,128,44.6933
16,16,64,256,70.4967
16,16,64,512,119.467
16,16,64,1024,216.236
16,16,64,2048,405.441
16,16,64,4096,803.331
16,16,64,8192,1698.31
16,16,64,16384,3591.35
16,16,128,16,45.259
16,16,128,32,46.1547
16,16,128,64,48.4697
16,16,128,128,86.1027
16,16,128,256,140.672
16,16,128,512,254.263
16,16,128,1024,481.314
16,16,128,2048,928.453
16,16,128,4096,1839.28
16,16,128,8192,3672.16
16,16,128,16384,7356.01
16,32,0,0,12.971
16,32,1,16,12.811
16,32,1,32,12.928
16,32,1,64,12.928
16,32,1,128,15.0503
16,32,1,256,18.603
16,32,1,512,25.5687
