pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.0008,4
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.1477,4
0,n<=128,sr<=15%,kvB<=4k,kp=0,-0.0044,4
0,n<=128,sr<=40%,kvB<=16k,kp=0,-0.004,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.1826,2
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.0128,2
0,n<=128,sr<=5%,kvB<=16k,kp=0,-0.0001,8
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0999,8
0,n<=128,sr<=5%,kvB<=4k,kp=0,-0.0009,8
0,n<=128,sr<=70%,kvB<=16k,kp=0,-0.0137,2
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.1214,2
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0257,2
0,n<=128,sr>70%,kvB<=16k,kp=0,-0.0131,4
0,n<=128,sr>70%,kvB<=1k,kp=0,0.4261,4
0,n<=128,sr>70%,kvB<=4k,kp=0,-0.0435,4
0,n<=16,sr<=15%,kvB<=16k,kp=0,0.0957,4
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.1515,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.0716,4
0,n<=16,sr<=40%,kvB<=16k,kp=0,0.0324,4
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.1284,4
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.019,4
0,n<=16,sr<=70%,kvB<=16k,kp=0,0.032,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.1696,2
0,n<=16,sr<=70%,kvB<=4k,kp=0,-0.1064,2
0,n<=16,sr>70%,kvB<=16k,kp=0,0.4006,4
0,n<=16,sr>70%,kvB<=1k,kp=0,0.3805,4
0,n<=16,sr>70%,kvB<=4k,kp=0,0.2378,4
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.1081,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.5288,2
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.4814,2
0,n<=256,sr<=15%,kvB<=16k,kp=0,-0.0305,4
0,n<=256,sr<=15%,kvB<=1k,kp=0,-0.0091,4
0,n<=256,sr<=15%,kvB<=4k,kp=0,-0.0345,4
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0552,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,-0.0257,2
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0699,2
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.0057,8
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.0067,8
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0037,8
0,n<=256,sr<=70%,kvB<=16k,kp=0,-0.1416,2
0,n<=256,sr<=70%,kvB<=1k,kp=0,-0.1437,2
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.1289,2
0,n<=256,sr>70%,kvB<=16k,kp=0,-0.3879,4
0,n<=256,sr>70%,kvB<=1k,kp=0,-0.2365,4
0,n<=256,sr>70%,kvB<=4k,kp=0,-0.3721,4
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.0701,6
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.0159,6
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0493,6
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.0052,2
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.0585,2
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0003,2
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.1006,2
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.0217,2
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.073,2
0,n<=32,sr<=70%,kvB<=16k,kp=0,-0.0143,2
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.0191,2
0,n<=32,sr<=70%,kvB<=4k,kp=0,-0.0145,2
0,n<=32,sr>70%,kvB<=16k,kp=0,0.0052,4
0,n<=32,sr>70%,kvB<=1k,kp=0,-0.0291,4
0,n<=32,sr>70%,kvB<=4k,kp=0,0.1735,4
0,n<=4,sr<=40%,kvB<=16k,kp=0,0.1087,2
0,n<=4,sr<=40%,kvB<=1k,kp=0,0.5202,4
0,n<=4,sr<=40%,kvB<=4k,kp=0,0.2932,3
0,n<=4,sr<=70%,kvB<=16k,kp=0,-0.0798,2
0,n<=4,sr<=70%,kvB<=1k,kp=0,0.6491,2
0,n<=4,sr<=70%,kvB<=4k,kp=0,0.2592,2
0,n<=4,sr>70%,kvB<=16k,kp=0,-0.1456,2
0,n<=4,sr>70%,kvB<=1k,kp=0,0.5453,2
0,n<=4,sr>70%,kvB<=4k,kp=0,0.2412,2
0,n<=64,sr<=15%,kvB<=16k,kp=0,0.0032,4
0,n<=64,sr<=15%,kvB<=1k,kp=0,0.0221,4
0,n<=64,sr<=15%,kvB<=4k,kp=0,-0.0087,4
0,n<=64,sr<=40%,kvB<=16k,kp=0,-0.0034,2
0,n<=64,sr<=40%,kvB<=1k,kp=0,0.0805,2
0,n<=64,sr<=40%,kvB<=4k,kp=0,0.0043,2
0,n<=64,sr<=5%,kvB<=16k,kp=0,0.0016,6
0,n<=64,sr<=5%,kvB<=1k,kp=0,0.0104,6
0,n<=64,sr<=5%,kvB<=4k,kp=0,-0.0035,6
0,n<=64,sr<=70%,kvB<=16k,kp=0,-0.015,2
0,n<=64,sr<=70%,kvB<=1k,kp=0,0.0825,2
0,n<=64,sr<=70%,kvB<=4k,kp=0,-0.0624,2
0,n<=64,sr>70%,kvB<=16k,kp=0,-0.0169,4
0,n<=64,sr>70%,kvB<=1k,kp=0,0.1412,4
0,n<=64,sr>70%,kvB<=4k,kp=0,-0.0443,4
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0849,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.2676,2
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.0858,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,0.0253,4
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.2177,4
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.0913,4
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.0514,2
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.2085,2
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.1418,2
0,n<=8,sr>70%,kvB<=16k,kp=0,0.4202,4
0,n<=8,sr>70%,kvB<=1k,kp=0,0.299,4
0,n<=8,sr>70%,kvB<=4k,kp=0,0.0843,4
16,n<=128,sr<=15%,kvB<=16k,kp<=1k,0.01,4
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.01,4
16,n<=128,sr<=15%,kvB<=16k,kp<=4k,0.0104,4
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.01,4
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0097,4
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0107,4
16,n<=128,sr<=15%,kvB<=1k,kp<=1k,0.008,4
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.0235,4
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.0258,4
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.0129,4
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.031,4
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.0132,4
16,n<=128,sr<=15%,kvB<=4k,kp<=1k,0.0093,4
16,n<=128,sr<=15%,kvB<=4k,kp<=2k,0.0088,4
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0082,4
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.0101,4
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0081,4
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.0092,4
16,n<=128,sr<=40%,kvB<=16k,kp<=1k,-0.018,2
16,n<=128,sr<=40%,kvB<=16k,kp<=2k,-0.0151,2
16,n<=128,sr<=40%,kvB<=16k,kp<=4k,-0.0115,2
16,n<=128,sr<=40%,kvB<=16k,kp<=512,-0.0202,2
16,n<=128,sr<=40%,kvB<=16k,kp<=8k,-0.0057,2
16,n<=128,sr<=40%,kvB<=16k,kp=0,-0.0206,2
16,n<=128,sr<=40%,kvB<=1k,kp<=1k,-0.0083,2
16,n<=128,sr<=40%,kvB<=1k,kp<=2k,0.0149,2
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.0092,2
16,n<=128,sr<=40%,kvB<=1k,kp<=512,-0.0119,2
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.0133,2
16,n<=128,sr<=40%,kvB<=1k,kp=0,-0.0085,2
16,n<=128,sr<=40%,kvB<=4k,kp<=1k,-0.0093,2
16,n<=128,sr<=40%,kvB<=4k,kp<=2k,-0.0173,2
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,-0.0116,2
16,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0131,2
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.0096,2
16,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0211,2
16,n<=128,sr<=5%,kvB<=16k,kp<=1k,0.0141,8
16,n<=128,sr<=5%,kvB<=16k,kp<=2k,0.0143,8
16,n<=128,sr<=5%,kvB<=16k,kp<=4k,0.0157,8
16,n<=128,sr<=5%,kvB<=16k,kp<=512,0.0128,8
16,n<=128,sr<=5%,kvB<=16k,kp<=8k,0.0144,8
16,n<=128,sr<=5%,kvB<=16k,kp=0,0.0134,8
16,n<=128,sr<=5%,kvB<=1k,kp<=1k,0.0003,8
16,n<=128,sr<=5%,kvB<=1k,kp<=2k,0.0116,8
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0162,8
16,n<=128,sr<=5%,kvB<=1k,kp<=512,-0.0032,8
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0119,8
16,n<=128,sr<=5%,kvB<=1k,kp=0,-0.0009,8
16,n<=128,sr<=5%,kvB<=4k,kp<=1k,0.0104,8
16,n<=128,sr<=5%,kvB<=4k,kp<=2k,0.0102,8
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0027,8
