layer,sequences,time_us
lm_head,1,235.51
lm_head,2,239.34
lm_head,3,239.692
lm_head,4,239.18
lm_head,5,239.329
lm_head,6,239.713
lm_head,7,239.926
lm_head,8,239.756
lm_head,9,239.852
lm_head,10,239.489
lm_head,11,239.969
lm_head,12,240.684
lm_head,13,240.705
lm_head,14,240.257
lm_head,15,240.577
lm_head,16,241.069
lm_head,20,264.46
lm_head,24,261.953
lm_head,28,256.833
lm_head,32,257.782
lm_head,36,260.364
lm_head,40,281.814
lm_head,44,283.724
lm_head,48,286.049
lm_head,52,288.47
lm_head,56,291.628
lm_head,60,293.772
lm_head,64,295.116
lm_head,80,276.449
lm_head,96,278.124
lm_head,112,281.794
lm_head,128,282.871
lm_head,144,361.101
lm_head,160,362.69
lm_head,176,363.639
lm_head,192,311.575
lm_head,208,312.577
lm_head,224,406.509
lm_head,240,405.955
lm_head,256,427.906
sampler,1,38.848
sampler,2,39.307
sampler,3,38.9867
sampler,4,39.36
sampler,5,41.195
sampler,6,41.792
sampler,7,41.9307
sampler,8,44.0433
sampler,9,46.3687
sampler,10,50.358
sampler,11,54.6677
sampler,12,55.6913
sampler,13,58.8803
sampler,14,60.587
sampler,15,62.1767
sampler,16,63.2647
sampler,20,70.774
sampler,24,76.5347
sampler,28,82.8487
sampler,32,89.7817
sampler,36,96.0647
sampler,40,103.937
sampler,44,110.721
sampler,48,119.041
sampler,52,126.71
sampler,56,135.499
sampler,60,143.212
sampler,64,152.066
sampler,80,187.928
sampler,96,224.108
sampler,112,259.257
sampler,128,294.617
sampler,144,327.631
sampler,160,362.852
sampler,176,399.95
sampler,192,436.741
sampler,208,471.664
sampler,224,506.886
sampler,240,542.097
sampler,256,609.724
